head,rel,tail
2016年,全行业,统计年份,
全行业,完成,运输总周转量962.51亿吨公里,
运输总周转量962.51亿吨公里,与往年比,比上年增长13.0%,
国内航线,完成,运输总周转量621.93亿吨公里,
运输总周转量621.93亿吨公里,与往年比,比上年增长11.2%,
国内航线,其中,港澳台航线,
港澳台航线,完成,15.43亿吨公里,
15.43亿吨公里,与往年比,比上年下降4.9%,
国际航线,完成,运输总周转量340.58亿吨公里,
运输总周转量340.58亿吨公里,与往年比,比上年增长16.4%,
全行业,完成,旅客周转量8378.13亿人公里,
旅客周转量8378.13亿人公里,与往年比,比上年增长15.0%,
国内航线,完成,旅客周转量6217.75亿人公里,
旅客周转量6217.75亿人公里,与往年比,比上年增长11.7%,
国内航线,其中,港澳台航线,
港澳台航线,完成,144.10亿人公里,
144.10亿人公里,与往年比,比上年下降5.1%,
国际航线,完成,旅客周转量2160.38亿人公里,
旅客周转量2160.38亿人公里,与往年比,比上年增长25.8%,
全行业,完成,货邮周转量222.45亿吨公里,
货邮周转量222.45亿吨公里,与往年比,比上年增长6.9%,
国内航线,完成,货邮周转量72.11亿吨公里,
货邮周转量72.11亿吨公里,与往年比,比上年增长7.7%,
国内航线,其中,港澳台航线,
港澳台航线,完成,2.75亿吨公里,
2.75亿吨公里,与往年比,比上年下降3.4%,
国际航线,完成,货邮周转量150.34亿吨公里,
货邮周转量150.34亿吨公里,与往年比,比上年增长6.5%,
2016年,全行业,统计年份,
全行业,完成,旅客运输量48796万人次,
旅客运输量48796万人次,与往年比,比上年增长11.9%,
国内航线,完成,旅客运输量43634万人次,
旅客运输量43634万人次,与往年比,比上年增长10.7%,
国内航线,其中,港澳台航线,
港澳台航线,完成,985万人次,
985万人次,与往年比,比上年下降3.4%,
国际航线,完成,旅客运输量5162万人次,
旅客运输量5162万人次,与往年比,比上年增长22.7%,
2016年,全行业,统计年份,
全行业,完成,货邮运输量668.0万吨,
货邮运输量668.0万吨,与往年比,比上年增长6.2%,
国内航线,完成,货邮运输量474.8万吨,
货邮运输量474.8万吨,与往年比,比上年增长7.3%,
国内航线,其中,港澳台航线,
港澳台航线,完成,22.0万吨,
22.0万吨,与往年比,比上年下降0.6%,
国际航线,完成,货邮运输量193.2万吨,
货邮运输量193.2万吨,与往年比,比上年增长3.4%,
2016年,民航运输机场,统计年份,
民航运输机场,实现,旅客吞吐量[5]10.16亿人次,
旅客吞吐量[5]10.16亿人次,与往年比,比上年增长11.1%,
2016年,旅客吞吐量5.51亿人次,统计年份,
2016年,旅客吞吐量0.62亿人次,统计年份,
2016年,旅客吞吐量1.02亿人次,统计年份,
2016年,旅客吞吐量3.01亿人次,统计年份,
东部地区,完成,旅客吞吐量5.51亿人次,
东北地区,完成,旅客吞吐量0.62亿人次,
中部地区,完成,旅客吞吐量1.02亿人次,
西部地区,完成,旅客吞吐量3.01亿人次,
2016年,民航运输机场,统计年份,
2016年,货邮吞吐量[7]1510.40万吨,统计年份,
货邮吞吐量[7]1510.40万吨,与往年比,比上年增长7.2%,
2016年,货邮吞吐量1131.37万吨,统计年份,
2016年,货邮吞吐量53.10万吨,统计年份,
2016年,货邮吞吐量95.45万吨,统计年份,
2016年,货邮吞吐量230.49万吨,统计年份,
东部地区,完成,货邮吞吐量1131.37万吨,
东北地区,完成,货邮吞吐量53.10万吨,
中部地区,完成,货邮吞吐量95.45万吨,
西部地区,完成,货邮吞吐量230.49万吨,
2016年,民航运输机场,统计年份,
民航运输机场,完成,起降架次[8]923.8万架次,
起降架次[8]923.8万架次,与往年比,比上年增长7.9%,
2016年,年旅客吞吐量,统计年份,
年旅客吞吐量,条件,100万人次以上,
年旅客吞吐量,运输机场77个,实现,
运输机场77个,其中,北京、上海和广州三大城市,
北京、上海和广州三大城市,旗下,机场,
机场,实现,旅客吞吐量,
旅客吞吐量,比例,全部境内机场旅客吞吐量的26.2%,
截至2016年底,全行业,统计年份,
全行业,有,期末在册架数2950架,
期末在册架数2950架,与往年比,比上年底增加300架,
我国,有,颁证运输机场218个,
截至2016年底,颁证运输机场218个,统计年份,
颁证运输机场218个,与往年比,比上年底增加8个,
2016年,新增机场,统计年份,
新增机场,机场,山西临汾机场,
新增机场,机场,湖北十堰机场,
新增机场,机场,福建三明机场,
新增机场,机场,海南琼海机场,
新增机场,机场,青海果洛机场,
新增机场,机场,内蒙古乌兰察布机场,
新增机场,机场,内蒙古扎兰屯机场,
新增机场,机场,海南三沙机场,
新增机场,机场,云南沧源机场,
河北秦皇岛机场,迁建,机场,
新疆且末机场,迁建,机场,
2016年,迁建,统计年份,
陕西安康机场,停航,机场,
我国,有,航空公司,
航空公司,开通,国际定期航班,
国际定期航班,通航,56个国家的145个城市,
国内航空公司定期航班,38个内地城市,开通,
国内航空公司定期航班,通航,香港,
国内航空公司定期航班,10个内地城市,开通,
国内航空公司定期航班,通航,澳门,
大陆航空公司,48个大陆城市,开通,
大陆航空公司,通航,台湾地区,
截至2016年底,双边航空运输协定120个,统计年份,
我国,对外关系,其他国家或地区,
我国,签订,双边航空运输协定120个,
双边航空运输协定120个,与往年比,比上年底增加2个,
双边航空运输协定120个,包含,亚洲有44个（含东盟,
双边航空运输协定120个,包含,非洲有24个,
双边航空运输协定120个,包含,欧洲有36个,
双边航空运输协定120个,包含,美洲有9个,
双边航空运输协定120个,包含,大洋洲有7个,
截至2016年底,运输航空公司59家,统计年份,
我国,有,运输航空公司59家,
运输航空公司59家,与往年比,比上年底增加4家,
运输航空公司59家,包含,国有控股公司44家,
运输航空公司59家,包含,民营和民营控股公司15家,
运输航空公司59家,包含,全货运航空公司8家,
运输航空公司59家,包含,中外合资航空公司11家,
运输航空公司59家,包含,上市公司7家,
中航集团,完成,飞行小时237.4万小时,
东航集团,完成,飞行小时197.3万小时,
南航集团,完成,飞行小时237.5万小时,
海航集团,完成,飞行小时139.5万小时,
其他航空公司,完成,飞行小时137.7万小时,
中航集团,完成,运输总周转量261.7亿吨公里,
运输总周转量261.7亿吨公里,与往年比,比上年增长10.1%,
中航集团,完成,旅客运输量1.15亿人次,
旅客运输量1.15亿人次,与往年比,比上年增长9.3%,
中航集团,完成,货邮运输量191.6万吨,
货邮运输量191.6万吨,与往年比,比上年增长7.0%,
东航集团,完成,运输总周转量197.3亿吨公里,
运输总周转量197.3亿吨公里,与往年比,比上年增长10.6%,
东航集团,完成,旅客运输量1.02亿人次,
旅客运输量1.02亿人次,与往年比,比上年增长8.6%,
东航集团,完成,货邮运输量139.5万吨,
货邮运输量139.5万吨,与往年比,比上年下降0.3%,
南航集团,完成,运输总周转量243.9亿吨公里,
运输总周转量243.9亿吨公里,与往年比,比上年增长8.9%,
南航集团,完成,旅客运输量1.15亿人次,
旅客运输量1.15亿人次,与往年比,比上年增长4.8%,
南航集团,完成,货邮运输量161.3万吨,
货邮运输量161.3万吨,与往年比,比上年增长6.7%,
海航集团,完成,运输总周转量142.1亿吨公里,
运输总周转量142.1亿吨公里,与往年比,比上年增长22.9%,
海航集团,完成,旅客运输量0.83亿人次,
旅客运输量0.83亿人次,与往年比,比上年增长22.4%,
海航集团,完成,货邮运输量78.4万吨,
货邮运输量78.4万吨,与往年比,比上年增长0.8%,
其他航空公司,完成,运输总周转量9117.5亿吨公里,
运输总周转量9117.5亿吨公里,与往年比,比上年增长22.4%,
其他航空公司,完成,旅客运输量0.73亿人次,
旅客运输量0.73亿人次,与往年比,比上年增长22.7%,
其他航空公司,完成,货邮运输量97.3万吨,
货邮运输量97.3万吨,与往年比,比上年增长19.6%,
2016年,全行业,统计年份,
全行业,完成,通用航空生产飞行76.47万小时,
通用航空生产飞行76.47万小时,与往年比,比上年下降1.9%,
通用航空生产飞行76.47万小时,其中,工业航空作业,
通用航空生产飞行76.47万小时,其中,农林业航空作业,
通用航空生产飞行76.47万小时,其中,其他通用航空,
工业航空作业,完成,8.29万小时,
8.29万小时,与往年比,比上年下降3.0%,
农林业航空作业,完成,5.10万小时,
5.10万小时,与往年比,比上年增长21.3%,
其他通用航空,完成,63.08万小时,
63.08万小时,与往年比,比上年下降3.2%,
截至2016年底,通用航空企业320家,统计年份,
通用航空经营许可证,通用航空企业320家,获得,
通用航空企业320家,包含,华北地区79家,
通用航空企业320家,包含,中南地区65家,
通用航空企业320家,包含,华东地区66家,
通用航空企业320家,包含,东北地区31家,
通用航空企业320家,包含,西南地区43家,
通用航空企业320家,包含,西北地区29家,
通用航空企业320家,包含,新疆地区7家,
2016年,全行业,统计年份,
全行业,有,在册运输飞机,
在册运输飞机,运输效率,平均日利用率为9.41小时,
平均日利用率为9.41小时,与往年比,比上年减少0.08小时,
在册运输飞机,其中,大中型飞机,
在册运输飞机,其中,小型飞机,
大中型飞机,运输效率,平均日利用率为9.57小时,
平均日利用率为9.57小时,与往年比,比上年减少0.09小时,
小型飞机,运输效率,平均日利用率为6.64小时,
平均日利用率为6.64小时,与往年比,比上年增加0.06小时,
2016年,正班客座率平均为82.6%,统计年份,
2016年,正班载运率平均为72.7%,统计年份,
正班客座率平均为82.6%,与往年比,比上年提高0.5个百分点,
正班载运率平均为72.7%,与往年比,比上年提高0.5个百分点,
航空公司,实现,营业收入4694.7亿元,
营业收入4694.7亿元,与往年比,比上年增长8.2%,
航空公司,实现,利润总额364.8亿元,
利润总额364.8亿元,与往年比,比上年增加37.9亿元,
机场,实现,营业收入832.5亿元,
营业收入832.5亿元,与往年比,比上年增长7.2%,
机场,实现,利润总额117.7亿元,
利润总额117.7亿元,与往年比,比上年增加17.1亿元,
保障企业,实现,营业收入865.8亿元,
营业收入865.8亿元,与往年比,比上年下降3.5%,
保障企业,实现,利润总额85.9亿元,
利润总额85.9亿元,与往年比,比上11年增加26.7亿元,
2016年,全行业,统计年份,
全行业,实现,运输收入水平为4.51元/吨公里,
运输收入水平为4.51元/吨公里,与往年比,比上年下降0.28元/吨公里,
全行业,实现,客运收入水平5.5元/吨公里,
全行业,实现,货邮运输收入水平1.3元/吨公里,
客运收入水平5.5元/吨公里,与往年比,比上年下降0.42元/吨公里,
货邮运输收入水平1.3元/吨公里,与往年比,比上年下降0.09元/吨公里,
2016年,全行业,统计年份,
全行业,缴税,应交税金296.5亿元,
2016年,民航安全形势平稳,统计年份,
2016年,全行业未发生运输航空事故，运输航空百万小时重大事故率10年滚动值为0.016（世界平均水平为0.217）,统计年份,
2016年,发生通用航空事故10起，死亡19人,统计年份,
自2010年8月25日至2016年底,运输航空,统计年份,
运输航空,完成,飞行76个月，累计安全飞行4623万小时,
2016年,事故征候519起,统计年份,
事故征候519起,其中,严重事故征候18起,
严重事故征候,和,人为责任原因事故征候,
人为责任原因事故征候,时率,万时率,
万时率,量值,0.019和0.039,
2016年,全行业,统计年份,
2016年,37家运输航空公司未发生责任事故征候,统计年份,
2016年,民航安检部门,统计年份,
民航安检部门,检查,旅客5.15亿人次,
民航安检部门,检查,托运行李2.92亿件次,
民航安检部门,检查,航空货物（不含邮件、快件）3.89亿件次,
民航安检部门,检查,邮件、快件1.56亿件次,
民航安检部门,查处,编造虚假恐怖威胁信息非法干扰事件75起,
民航安检部门,处置,规和不文明旅客行为14740起,
2016年,主要航空公司,统计年份,
主要航空公司,完成,航班284.6万班次,
航班284.6万班次,其中,正常航班217.8万班次,
航班284.6万班次,其中,平均航班正常率为76.54%,
2016年,民航局、各地区管理局、民航局消费者事务中心和中国航空运输协会,统计年份,
民航局、各地区管理局、民航局消费者事务中心和中国航空运输协会,受理,航空消费者投诉19952件,
2016年,受理投诉总量,统计年份,
受理投诉总量,与往年比,比上年增加10849件,
受理投诉总量,与往年比,增长84%,
2016年,民航,统计年份,
民航,完成,固定资产投资总额1700.0亿元,
固定资产投资总额1700.0亿元,其中,基本建设和技术改造投资782.4亿元,
基本建设和技术改造投资782.4亿元,与往年比,比上年增长1.7%,
基本建设和技术改造投资,其中,机场系统,
基本建设和技术改造投资,其中,空管系统,
机场系统,完成,固定资产投资总额660.0亿元,
固定资产投资总额660.0亿元,与往年比,比上年增长0.6%,
空管系统,完成,固定资产投资24.2亿元,
固定资产投资24.2亿元,与往年比,比上年增加6.52亿元,
基本建设和技术改造投资,其中,民航其他系统,
民航其他系统,完成,固定资产投资总额98.24亿元,
固定资产投资总额98.24亿元,与往年比,比上年增加2.74亿元,
民航信息系统,投资,11.83亿元,
民航科研、教育系统,投资,5.87亿元,
民航安全保卫系统,投资,3.02亿元,
民航机务维修系统,投资,2.33亿元,
运输服务系统,投资,14.77亿元,
公共设施系统,投资,11.13亿元,
其他系统,投资,49.29亿元,
2016年,民航,统计年份,
民航,节约,油耗为0.293公斤,
油耗为0.293公斤,与往年比,较2005年（行业节能减排目标基年）下降13.82%,
油耗为0.293公斤,与往年比,较“十二五”末(2013-2015)均值下降8.4%,
2016年,积极推动全行业采取行动，控制和减少能源消耗及排放，对行业内符合《民航节能减排专项资金项目指南》要求的67个项目提供支持,统计年份,
截至2016年,年旅客吞吐量,统计年份,
年旅客吞吐量,机场,实现,
年旅客吞吐量,条件,500万人次以上,
机场,其中,90%以上的单位,
90%以上的单位,完成,APU替代设备安装,
32.6万架次航班,使用,临时航路,
32.6万架次航班,缩短,飞行距离979万公里,
32.6万架次航班,节约,燃油消耗5.3万吨,
32.6万架次航班,减少,二氧化碳排放约16.6万吨,
2016年,民航直属院校,统计年份,
2016年,民航直属院校,统计年份,
2016年,民航直属院校,统计年份,
民航直属院校,招生,招收学生20633人,
民航直属院校,在校学生,在校生数达到71078人,
民航直属院校,毕业生,毕业学生16843人,
招收学生20633人,其中,研究生970人,
招收学生20633人,其中,普通本专科生17948人,
招收学生20633人,其中,成人招生1715人,
在校生数达到71078人,其中,研究生3435人,
在校生数达到71078人,其中,普通本专科生60598人,
在校生数达到71078人,其中,成人在校生7045人,
毕业学生16843人,其中,硕士研究生919人,
毕业学生16843人,其中,普通本专科14006人,
毕业学生16843人,其中,成人学生1918人,
2016年,民航,统计年份,
民航,评审验收,科技成果28项,
科技成果28项,其中,民航协会科学技术奖26项,
截至2016年底,全行业,统计年份,
全行业,获得,驾驶执照飞行员50504人,
驾驶执照飞行员50504人,与往年比,比上年底增加4981人,
2016年,“安康杯”,统计年份,
“安康杯”,411个单位,参加,
“安康杯”,26632个班组,参加,
“安康杯”,547899名职工,参加,
2016年,“安康杯”,统计年份,
“安康杯”,其中,135个先进集体,
“安康杯”,其中,44名先进个人,
135个先进集体,受到,表彰,
44名先进个人,表彰,表彰,
民航其他系统,其中,民航信息系统,
民航其他系统,其中,民航科研、教育系统,
民航其他系统,其中,民航安全保卫系统,
民航其他系统,其中,民航机务维修系统,
民航其他系统,其中,运输服务系统,
民航其他系统,其中,公共设施系统,
民航其他系统,其中,其他系统,
